Address	Arkham - Entity	Arkham - Twitter	Arkham - Tags
0x7786729eee8b9d30fe7d91fdff23a0f1d0c615d9	Pendle Finance	https://twitter.com/pendle_fi	Yield, Yield, Yield, Yield, Yield, ERC20 Token, SY rswETH (SY-RSWETH), Yield, Yield, Yield, Yield, Yield
0x3a0ee670ee34d889b52963bd20728dece4d9f8fe			
0x22162dbba43fe0477cdc5234e248264ec7c6ea7c			Tokenized ETH2 Staker
0x564b1a055d9caaaff7435dce6b5f6e522b27de7d			Tornado Cash Depositor, Contract Deployer, Tokenized ETH2 Staker
0x1e5ce6f088fd0adb4fcff31cfb02a61503311be9	@divfemininity	https://twitter.com/divfemininity	Contract Deployer, ERC20 Token Deployer, Arbitrum Treasury Governance Delegator, Questbook ARB DAO GRANTS Governance Delegator, Arbitrum Core Governance Delegator, PL Arb Grants Safety Governance Delegator, Early SB Holder, Contract Deployer, ERC721 Token Deployer, MultiSig Deployer, Early WSG Holder, hashler.eth, "os-warchest" on OpenSea, MultiSig Deployer, Contract Deployer, hashler.eth Owner, Early XSUSHI Holder, Early SAKE Holder, Early 1INCH Holder, Early UNI Holder, Early LINA Holder, Early BAC Holder, Early SWRV Holder, Early SOS Holder, Early DIGG Holder, Early GAS Holder, Early SUSHI Holder, Early RADAR Holder, Early BDP Holder, Early GEAR Holder, Early SASHIMI Holder, Early ARMOR Holder, Early VIRTUAL Holder, Early GYSR Holder, Early GF Holder, Silo Finance Governance Delegator, Tokenized ETH2 Staker, Contract Deployer, ERC20 Token Deployer, Contract Deployer, Optimism Governance Delegator, Contract Deployer, ERC721 Token Deployer, Early MILK Holder
0xfa4fc4ec2f81a4897743c5b4f45907c02ce06199	DCF GOD	https://twitter.com/dcfgod	Individual, Contract Deployer, Individual, Individual, Individual, Individual, OpenSea User, sudoswap Pool Deployer, Uniswap V3 Pool Deployer, Contract Deployer, Early BTRFLY Holder, Early FOUR Holder, Early MEVETH Holder, Nouns Dao Governance Delegator, Rari Capital Governance Delegator, Nouns Dao Governance Voter, Fei Protocol Governance Delegator, Tribe Nope DAO Governance Delegator, Snapshot Delegator to 0xa1cCda142FB29e65AFF46D5ec2235CD1A8e78893, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Individual, Individual, Individual, Individual, Individual
0xc3f89f829ca23e85c59e9ec44a0c79e483d58be2			Tokenized ETH2 Staker
0xee2826453a4fd5afeb7ceffeef3ffa2320081268	Junyi Zheng		Contract Deployer, Contract Deployer, Contract Deployer, Early EPS Holder, Early FEVR Holder, Validator, "flomp" on OpenSea, Contract Deployer, ERC20 Token Deployer, Balancer BPool Deployer, Tornado Cash Depositor, Early BAC Holder, Early SASHIMI Holder, Early MTH Holder, Early FARM Holder, Early SNT Holder, Early KIF Holder, Early BNTY Holder, Early PICKLE Holder, Early ARCONA Holder, Early TRIBE Holder, Early CRV Holder, Early BAL Holder, Early LINK Holder, Early SAKE Holder, Early FEI Holder, Early MOVE Holder, Early GEAR Holder, Early 1INCH Holder, Early SUSHI Holder, Early BDP Holder, Early SDT Holder, Early LQTY Holder, Early MKR Holder, Early RAI Holder, Early ARMOR Holder, Early GAS Holder, Early FUEL Holder, Early SOS Holder, Early LUSD Holder, Early GYSR Holder, Early UNI Holder, Rari Capital Governance Delegator, Tribe Nope DAO Governance Delegator, MEV Fee Recipient, Fei Protocol Governance Delegator, Tokenized ETH2 Staker, Contract Deployer, Contract Deployer, Early DINO Holder
0xc7bfd896cc6a8bf1d09486dd08f590691b20c2ff			Contract Deployer, MultiSig Deployer, Early ACRE Holder, Early YUSD Holder, Contract Deployer, MultiSig Deployer, Early MPAD Holder, "serenidad" on OpenSea, Tornado Cash Recipient, ERC20 Token Deployer, MultiSig Deployer, Contract Deployer, Early YFII Holder, Early SHROOM Holder, Early XSUSHI Holder, Early MTA Holder, Early DOG Holder, Early BADGER Holder, Early SUSHI Holder, Early SAKE Holder, Early RISITA Holder, Early CRV Holder, Early FARM Holder, Early VALUE Holder, Early BZRX Holder, Early SWRV Holder, Early BOTTO Holder, Early BDP Holder, Early K21 Holder, Early BNSD Holder, Early SASHIMI Holder, Early YFI Holder, Early 1INCH Holder, Early GAMMA Holder, Early UNI Holder, Early SWISE Holder, Early YFL Holder, Early APY Holder, Early GYSR Holder, Early PICKLE Holder, Snapshot Delegator to 0x82A5b27431b0c09f6753170A50C53bB88c9FbC98, Tokenized ETH2 Staker, Optimism Governance Delegator, Early DINO Holder
0xfb4cb868727d9622258bf2b26a8cfc95f6742669			Contract Deployer, hughkarpet.eth Prev. Owner, hughkarpet.eth Prev. Manager, Nouns Dao Governance Delegator, Tokenized ETH2 Staker
0x0c67f4ffc902140c972ecab356c9993e6ce8caf3			Tokenized ETH2 Staker
0x1e48f1007fa133f643941d58cb6b080dc621e773			
0xe4000004000bd8006e00720000d27d1fa000d43e			MEV, MEV, youngchop.eth Prev. Owner, Tokenized ETH2 Staker
0x63950cfd75e2290a3581b6b0e39c86bc11697d5b			Contract Deployer, betamargin.eth Owner, betamargin.eth Manager, Early BDP Holder, Early MEVETH Holder, Early RADAR Holder, Early PICKLE Holder, Early BADGER Holder, Tokenized ETH2 Staker
0x7d585b0e27bbb3d981b7757115ec11f47c476994			Tokenized ETH2 Staker, Tokenized ETH2 Staker, Tokenized ETH2 Staker
0xc65236e35c1e0dc9e2044f6f38c9c3497e95ffa2			Tokenized ETH2 Staker
0xe7188e83739c7fc1617bf98209e932471a5849b8			OpenSea User, Tokenized ETH2 Staker
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d			Contract Deployer, KyberSwap Elastic Pool Deployer, ERC20 Token Deployer, Early WSG Holder, OpenSea User, ERC20 Token Deployer, Balancer BPool Deployer, Uniswap V3 Pool Deployer, Contract Deployer, Early ALUSD Holder, Early BADGER Holder, Early FEI Holder, Early FARM Holder, Early BDP Holder, Early GAS Holder, Early HOP Holder, Early BAL Holder, Early DODO Holder, Early YFII Holder, Early CRV Holder, Early SDT Holder, Early TRIBE Holder, Early BALPHA Holder, Early 1INCH Holder, Early MASK Holder, Early RADAR Holder, Early GEAR Holder, Early YFI Holder, Early SASHIMI Holder, Early CVX Holder, Early PSP Holder, Early UNI Holder, Early DIGG Holder, Early BPT Holder, Early EURA Holder, Early ALCX Holder, Gas DAO Governance Delegator, Euler Finance Governance Delegator, YAM.finance Governance Delegator, Tokenized ETH2 Staker, Contract Deployer, KyberSwap Elastic Pool Deployer, ERC20 Token Deployer, Optimism Governance Delegator, Contract Deployer, Tornado Cash Depositor, QuickSwap V2 Pool Deployer, ERC20 Token Deployer
0x81e0e73ce05596acdfa78228e8e06788f3f65aa0			
0xa0ad15548f10b0a45aa4dac07612420eccca09d7			Early CPO Holder, Early PLSPAD Holder, Early SCAR Holder, Early LFG Holder, Early GZONE Holder, "kneuroal" on OpenSea, Early SOS Holder
0x9c9a4ee9c704794e5c23efea5fc067c26b35936c			Tokenized ETH2 Staker
0x1178232aba263e07545cb97020b3117fad1515f4			
0x334f12afb7d8740868be04719639616533075234			SushiSwap V2 Pool Deployer, Tornado Cash Depositor, ERC20 Token Deployer, Contract Deployer, Early CRV Holder, Early SASHIMI Holder, Early PICKLE Holder, Early SUSHI Holder, Early BDP Holder, Early BAC Holder, Early UNI Holder, Snapshot Delegate for 0xAdF0E9b0AC37AedadC66C0680791ebeA8F8e4Dac, Tokenized ETH2 Staker, Optimism Governance Delegator
0x807a2e2e469df84b299da5f90f15dda4380daca1			
0x3686eacfb8cbf64334b8b39040d9b6117dcf2a2b			
0x31f4ee28f2fb544e54a981eaa9a7a4eac7b9a07b			Contract Deployer, Tokenized ETH2 Staker
0x2326d4fb2737666dda96bd6314e3d4418246cfe8	@mj2326	https://twitter.com/mj2326	Individual, Individual, Early QI Holder, Early ACRE Holder, Individual, Contract Deployer, Early TOSHI Holder, Early AERO Holder, Early DUDE Holder, Individual, Early EPS Holder, Individual, OpenSea User, Tornado Cash Recipient, sudoswap Pool Deployer, Tornado Cash Depositor, Uniswap V3 Pool Deployer, Contract Deployer, Early SUDO Holder, Early 1INCH Holder, Early BAC Holder, Early BONE Holder, Early ALCX Holder, Early COFI Holder, Early BDP Holder, Early MPH Holder, Early ALUSD Holder, Early BADGER Holder, Early STG Holder, Early SDT Holder, Early GAS Holder, Early RAI Holder, Early FEI Holder, Early TRIBE Holder, Early GEAR Holder, Early FRAX Holder, Early OHM Holder, Early SOS Holder, Early SFI Holder, Early CVX Holder, Early FXS Holder, Early GYSR Holder, Early CUNI Holder, Early PDT Holder, Early OX OLD Holder, Early BANK Holder, Early ESPR Holder, Early CHART Holder, Early YVE-CRVDAO Holder, Early CRVUSD Holder, Early MKUSD Holder, sudoswap DAO Governance Voter, Euler Finance Governance Delegator, sudoswap DAO Governance Delegator, Snapshot Delegator to 0xde1E6A7ED0ad3F61D531a8a78E83CcDdbd6E0c49, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Individual, Individual, Individual, Individual, Contract Deployer, Individual
0x634a3a9332d393e055eb42be21518e431b4761ff			Contract Deployer, Tokenized ETH2 Staker
0x6af8a4f698cb6bd4f0fdf7437196552d3c9d7fc2			
0x0238f32acf2ec7c86e7813414173271de4a30293			
